Table 1. By QUINTILES OF INCOME BEFORE TAXES: Average annual expenditures and characteristics of all consumer units,
Consumer Expenditure Survey, 1994

                                             All                     Complete reporting of income        Incomplete
                   Item                   consumer   Total   Lowest   Second    Third   Fourth   Highest reporting
                                            units  complete    20       20       20       20       20       of
                                                   reporting percent  percent  percent  percent  percent  income
                                          _________________________________________________________________________
Number of consumer units (in thousands)... 102,210   85,994   17,149   17,217   17,188   17,200   17,240   16,216
Lower limit...............................       0        0        0  $11,000  $21,097  $33,944  $54,096        0
Income before taxes 1/.................... $36,181  $36,181   $5,937  $15,787  $27,305  $43,080  $88,598        0
Income after taxes 1/.....................  33,098   33,098    5,707   15,221   25,326   39,461   79,599        0
Age of reference person...................    47.6     47.7     51.7     51.2     45.2     44.7     45.7     47.4
Average number in consumer unit:..........
 Persons..................................     2.5      2.5      1.8      2.3      2.5      2.9      3.1      2.6
 Children under 18........................     0.7      0.7      0.5      0.6      0.7      0.9      0.9      0.7
 Persons 65 and over......................     0.3      0.3      0.4      0.5      0.3      0.2      0.1      0.3
 Earners..................................     1.3      1.3      0.6      0.9      1.3      1.7      2.0      1.3
 Vehicles.................................     1.9      2.0      0.9      1.5      2.0      2.5      2.8      1.8
Percent distribution:
 Male.....................................      62       63       39       55       64       75       81       62
 Female...................................      38       37       61       45       36       25       19       38
 Percent homeowner........................      63       63       40       53       60       74       87       65
  With mortgage...........................      37       37       11       17       34       52       70       36
  Without mortgage........................      26       26       30       36       25       22       17       30
 Renter...................................      37       37       60       47       40       26       13       35
 Black....................................      11       11       18       13       10        8        5       15
 White and other..........................      89       89       82       87       90       92       95       85
 Elementary (1-8).........................       8        9       19       12        6        4        1        8
 High school (9-12).......................      43       43       47       52       48       40       26       47
 College..................................      48       48       33       35       46       57       73       45
 Never attended and other.................       0        0        1        0        0        0        0        1
 At least one vehicle owned...............      86       87       62       84       94       96       97       83
Average annual expenditures............... $31,731  $32,740  $14,356  $20,891  $28,513  $39,033  $60,803  $26,857
 Food.....................................   4,411    4,527    2,472    3,394    4,078    5,337    7,347    3,987
  Food at home............................   2,712    2,764    1,821    2,358    2,654    3,141    3,844    2,526
   Cereals and bakery products............     429      439      270      390      398      509      630      391
    Cereals and cereal products...........     162      167      109      153      151      193      229      144
    Bakery products.......................     267      272      161      236      248      316      401      248
   Meats, poultry, fish, and eggs.........     732      729      539      653      729      802      922      745
    Beef..................................     227      227      157      207      221      263      285      227
    Pork..................................     156      155      133      142      166      157      175      159
    Other meats...........................      94       94       62       89      100      103      118       93
    Poultry...............................     137      135      103      114      129      151      180      141
    Fish and seafood......................      89       87       57       68       83       96      131       97
    Eggs..................................      30       31       27       33       30       32       32       28
